Table 1
Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 27 Jan 2021 06:23:33 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1970-0063-BGD,1970,0063,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Khulna, Chittagong",,,,Yes,,,,,Kph,,,,,1970,11,12,1970,11,12,300000,,3648000,,3648000,,,86400,15.1863354613098
1970-0026-BGD,1970,0026,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1970,4,13,1970,4,13,17,,110,,110,,,,15.1863354613098
1970-0035-BGD,1970,0035,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1970,7,,1970,7,,,,10000000,,10000000,,,25000,15.1863354613098
1970-0058-BGD,1970,0058,Natural,Meteorological,Storm,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Bay of Bengal districts,,,,,,,,,Kph,,,,,1970,10,23,1970,10,23,300,,,,,,,,15.1863354613098
1970-0010-CHN,1970,0010,Natural,Geophysical,Earthquake,Ground movement,,,Kill,China,CHN,Eastern Asia,Asia,Yunnan province,,,,,,,,7,Richter,24.185,102.543,,,1970,1,4,1970,1,4,10000,,,,,,,,15.1863354613098
1970-0090-CHN,1970,0090,Natural,Meteorological,Storm,Tropical cyclone,,Fran,Kill,China,CHN,Eastern Asia,Asia,"Yang-Mei (Tao-Yuan), Wu-F Eng (Hsin-Chu), Yang-Mei, Ali-Shan, Tai-Chung, Yang-Ming-Shan, Peng-Chia-Yu regions",,,,,,,,,Kph,,,,,1970,9,7,1970,9,7,107,55,6065,7880,14000,,,,15.1863354613098
1970-0006-CYP,1970,0006,Natural,Biological,Epidemic,Bacterial disease,,Cholera,OFDA,Cyprus,CYP,Western Asia,Asia,,,,,Yes,,,,,Vaccinated,,,,,1970,1,1,1970,1,1,,,,,,,,,15.1863354613098
1970-0099-HKG,1970,0099,Natural,Hydrological,Flood,Flash flood,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,Taipo area,,,,,,,,,Km2,,,,,1970,9,16,1970,9,16,,,541,368,909,,,,15.1863354613098
1970-0093-HKG,1970,0093,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1970,1,,1970,1,,,,,,,,,,15.1863354613098
1970-0094-HKG,1970,0094,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,Govern,Hong Kong,HKG,Eastern Asia,Asia,,,,,,,,,,Km2,,,,,1970,4,,1970,4,,,,,,,,,,15.1863354613098
1970-0097-HKG,1970,0097,Natural,Hydrological,Flood,,,,Affect,Hong Kong,HKG,Eastern Asia,Asia,Sha Tin area,,,,,,,,,Km2,,,,,1970,5,13,1970,5,13,,,529,,529,,,,15.1863354613098
